resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
25846,1098,830,9,1,1,1,1,1,25,57,33:56.7,5636736,44,6,01:36.2,202.452,1
25847,1098,815,9,11,2,2,2,2,18,57,11.987,5648723,37,7,01:36.3,202.225,1
25848,1098,4,117,14,5,3,3,3,15,57,38.637,5675373,36,5,01:36.2,202.62,1
25849,1098,832,6,55,4,4,4,4,12,57,48.052,5684788,37,14,01:37.1,200.588,1
25850,1098,1,131,44,7,5,5,5,10,57,50.977,5687713,36,10,01:36.5,201.802,1
25851,1098,840,117,18,8,6,6,6,8,57,54.502,5691238,32,9,01:36.5,201.802,1
25852,1098,847,131,63,6,7,7,7,6,57,55.873,5692609,33,17,01:37.2,200.401,1
25853,1098,822,51,77,12,8,8,8,4,57,+1:12.647,5709383,31,18,01:37.4,200.075,1
25854,1098,842,214,10,20,9,9,9,2,57,+1:13.753,5710489,42,2,01:35.1,204.939,1
25855,1098,848,3,23,15,10,10,10,1,57,+1:29.774,5726510,43,15,01:37.1,200.559,1
25856,1098,852,213,22,14,11,11,11,0,57,+1:30.870,5727606,42,12,01:36.6,201.612,1
25857,1098,858,3,2,16,12,12,12,0,56,\N,\N,42,4,01:36.0,202.871,11
25858,1098,825,210,20,17,13,13,13,0,56,\N,\N,42,8,01:36.5,201.959,11
25859,1098,856,213,21,19,14,14,14,0,56,\N,\N,30,19,01:37.7,199.4,11
25860,1098,807,210,27,10,15,15,15,0,56,\N,\N,42,11,01:36.6,201.656,11
25861,1098,855,51,24,13,16,16,16,0,56,\N,\N,56,1,01:34.0,207.276,11
25862,1098,846,1,4,11,17,17,17,0,55,\N,\N,51,3,01:35.8,203.327,12
25863,1098,839,214,31,9,\N,R,18,0,41,\N,\N,34,13,01:36.8,201.278,26
25864,1098,844,6,16,3,\N,R,19,0,39,\N,\N,37,16,01:37.2,200.506,5
25865,1098,857,1,81,18,\N,R,20,0,13,\N,\N,3,20,01:40.7,193.494,10
25866,1099,815,9,11,1,1,1,1,25,50,21:14.9,4874894,38,2,01:32.2,241.098,1
25867,1099,830,9,1,15,2,2,2,19,50,5.355,4880249,50,1,01:31.9,241.838,1
25868,1099,4,117,14,2,3,3,3,15,50,20.728,4895622,50,3,01:32.2,240.962,1
25869,1099,847,131,63,3,4,4,4,12,50,25.866,4900760,50,4,01:32.4,240.459,1
25870,1099,1,131,44,7,5,5,5,10,50,31.065,4905959,47,6,01:32.9,239.145,1
25871,1099,832,6,55,4,6,6,6,8,50,35.876,4910770,50,5,01:32.8,239.451,1
25872,1099,844,6,16,12,7,7,7,6,50,43.162,4918056,47,7,01:33.1,238.849,1
25873,1099,839,214,31,6,8,8,8,4,50,52.832,4927726,49,8,01:33.2,238.424,1
