Sr No,Team,Player,POS,Country,Annual Salary,Weekly Wage,Age,Total Days Injured,Total Injury Count,Days Injured per Season,Days Missed per Injury,Injury Risk Score,Cluster Label,percent_change,FitWage,InjuredWage,Recommendation,Injury Risk Percentile_POS,Injury Risk Percentile_Team,Salary Percentile_POS,Salary Percentile_Team
0,AFC Bouremouth,Jaidon Anthony, F , GBR ,1300000,25000,24,0,0,0,0,2.4,No Risk,0,25000,25000,Dream Player: Minimal risk of injury in the future.,84.44,90.91,27.78,34.09
1,AFC Bouremouth,Antoine Semenyo, F , GHA ,1040000,20000,24,0,0,0,0,2.4,No Risk,0,20000,20000,Dream Player: Minimal risk of injury in the future.,84.44,90.91,22.22,25
2,AFC Bouremouth,Mark Travers, GK , IRL ,1040000,20000,25,0,0,0,0,2.5,No Risk,0,20000,20000,Dream Player: Minimal risk of injury in the future.,79.17,81.82,33.33,25
3,AFC Bouremouth,Joe Rothwell, M , GBR ,416000,8000,29,0,0,0,0,2.9,No Risk,0,8000,8000,Dream Player: Minimal risk of injury in the future.,84.93,77.27,9.56,13.64
4,AFC Bouremouth,Gavin Kilkenny, M , IRL ,78000,1500,24,0,0,0,0,2.4,No Risk,0,1500,1500,Dream Player: Minimal risk of injury in the future.,90.07,90.91,0.74,4.55
5,Arsenal FC,Declan Rice,M, GBR ,12480000,240000,25,0,0,0,0,2.5,No Risk,0,240000,240000,Dream Player: Minimal risk of injury in the future.,85.71,93.75,100,89.58
6,Arsenal FC,Eddie Nketiah, F , GBR ,5200000,100000,25,0,0,0,0,2.5,No Risk,0,100000,100000,Dream Player: Minimal risk of injury in the future.,82.22,93.75,77.78,43.75
7,Aston Villa FC,Ollie Watkins, F , GBR ,6760000,130000,28,0,0,0,0,2.8,No Risk,0,130000,130000,Dream Player: Minimal risk of injury in the future.,77.78,90,87.22,87.5
8,Aston Villa FC,Tim Iroegbunam, M , GBR ,210000,4038,20,0,0,0,0,2,No Risk,0,4038,4038,Dream Player: Minimal risk of injury in the future.,96.32,95,2.21,5
9,Brentford FC,David Raya, GK , ESP ,4420000,85000,28,0,0,0,0,2.8,No Risk,0,85000,85000,Dream Player: Minimal risk of injury in the future.,75,75.93,83.33,100
10,Brentford FC,Frank Onyeka, M , NGA ,1300000,25000,26,0,0,0,0,2.6,No Risk,0,25000,25000,Dream Player: Minimal risk of injury in the future.,86.76,85.19,21.69,44.44
11,Brentford FC,Yoane Wissa, F , FRA ,1300000,25000,27,0,0,0,0,2.7,No Risk,0,25000,25000,Dream Player: Minimal risk of injury in the future.,79.44,81.48,27.78,44.44
12,Brentford FC,Ellery Balcombe, GK , GBR ,520000,10000,24,0,0,0,0,2.4,No Risk,0,10000,10000,Dream Player: Minimal risk of injury in the future.,85.42,88.89,21.88,22.22
13,Brentford FC,Hakon Valdimarsson, GK , ISL ,520000,10000,22,0,0,0,0,2.2,No Risk,0,10000,10000,Dream Player: Minimal risk of injury in the future.,91.67,92.59,21.88,22.22
14,Brentford FC,Charlie Goode, D , GBR ,416000,8000,28,0,0,0,0,2.8,No Risk,0,8000,8000,Dream Player: Minimal risk of injury in the future.,89.16,75.93,5.59,14.81
15,Brentford FC,Fin Stevens, D , GBR ,280000,5385,21,0,0,0,0,2.1,No Risk,0,5385,5385,Dream Player: Minimal risk of injury in the future.,96.5,96.3,4.2,11.11
16,Brighton & Hove Albion,Bart Verbruggen, GK , NLD ,1820000,35000,21,0,0,0,0,2.1,No Risk,0,35000,35000,Dream Player: Minimal risk of injury in the future.,94.79,88.46,51.04,55.77
17,Brighton & Hove Albion,Jan Paul van Hecke, D , NLD ,1560000,30000,24,0,0,0,0,2.4,No Risk,0,30000,30000,Dream Player: Minimal risk of injury in the future.,94.06,84.62,25.17,48.08
18,Brighton & Hove Albion,Carlos Baleba, M , CMR ,650000,12500,20,0,0,0,0,2,No Risk,0,12500,12500,Dream Player: Minimal risk of injury in the future.,96.32,92.31,13.24,17.31
19,Brighton & Hove Albion,Jack Hinshelwood, M , GBR ,520000,10000,19,0,0,0,0,1.9,No Risk,0,10000,10000,Dream Player: Minimal risk of injury in the future.,99.26,96.15,11.4,7.69
20,Brighton & Hove Albion,Jakub Moder, M , POL ,520000,10000,25,0,0,0,0,2.5,No Risk,0,10000,10000,Dream Player: Minimal risk of injury in the future.,88.24,80.77,11.4,7.69
21,Chelsea FC,David Fofana, F , CIV ,10400000,200000,21,0,0,0,0,2.1,No Risk,0,200000,200000,Dream Player: Minimal risk of injury in the future.,91.11,88.33,95,90
22,Chelsea FC,Conor Gallagher, M , GBR ,2600000,50000,24,0,0,0,0,2.4,No Risk,0,50000,50000,Dream Player: Minimal risk of injury in the future.,90.07,81.67,45.96,40
23,Chelsea FC,Djordje Petrovic, GK , SRB ,1300000,25000,24,0,0,0,0,2.4,No Risk,0,25000,25000,Dream Player: Minimal risk of injury in the future.,85.42,81.67,38.54,16.67
24,Chelsea FC,Diego Moreira, F , PRT ,520000,10000,19,0,0,0,0,1.9,No Risk,0,10000,10000,Dream Player: Minimal risk of injury in the future.,96.67,95,13.89,13.33
25,Chelsea FC,Cesare Casadei, M , ITA ,390000,7500,21,0,0,0,0,2.1,No Risk,0,7500,7500,Dream Player: Minimal risk of injury in the future.,93.01,88.33,8.46,10
26,Chelsea FC,Deivid Washington, F , BRA ,364000,7000,19,0,0,0,0,1.9,No Risk,0,7000,7000,Dream Player: Minimal risk of injury in the future.,96.67,95,6.67,6.67
27,Crystal Palace FC,Matheus Franca, M , BRA ,2080000,40000,20,0,0,0,0,2,No Risk,0,40000,40000,Dream Player: Minimal risk of injury in the future.,96.32,91.3,35.66,34.78
28,Crystal Palace FC,Adam Wharton, M , ENG ,1820000,35000,20,0,0,0,0,2,No Risk,0,35000,35000,Dream Player: Minimal risk of injury in the future.,96.32,91.3,31.25,21.74
