Name,Season,Injury,From date,Till date,Days missed
Justin Kluivert,22/23,Hamstring injury,"Apr 9, 2023","May 5, 2023",26 days
Justin Kluivert,22/23,unknown injury,"Jan 31, 2023","Feb 7, 2023",7 days
Justin Kluivert,21/22,Hamstring injury,"Sep 25, 2021","Nov 8, 2021",44 days
Justin Kluivert,21/22,Hamstring strain,"Aug 29, 2021","Sep 13, 2021",15 days
Justin Kluivert,20/21,Ankle injury,"Jan 31, 2021","Feb 9, 2021",9 days
Justin Kluivert,20/21,Calf injury,"Dec 17, 2020","Jan 11, 2021",25 days
Justin Kluivert,19/20,Hamstring injury,"Dec 2, 2019","Jan 14, 2020",43 days
Justin Kluivert,18/19,Adductor injury,"Apr 27, 2019","May 4, 2019",7 days
Justin Kluivert,18/19,Muscle injury,"Oct 20, 2018","Nov 2, 2018",13 days
Justin Kluivert,17/18,Muscle injury,"Aug 24, 2017","Sep 7, 2017",14 days
Tyler Adams,22/23,Hamstring injury,"Mar 15, 2023","Jun 7, 2023",84 days
Tyler Adams,21/22,Thigh problems,"Apr 1, 2022","Apr 8, 2022",7 days
Tyler Adams,21/22,muscular problems,"Sep 24, 2021","Sep 30, 2021",6 days
Tyler Adams,20/21,Back problems,"May 3, 2021","May 31, 2021",28 days
Tyler Adams,20/21,Inner ligament injury,"Oct 24, 2020","Oct 25, 2020",1 days
Tyler Adams,19/20,Torn muscle fiber,"Feb 12, 2020","Feb 24, 2020",12 days
Tyler Adams,19/20,Adductor pain,"Dec 10, 2019","Dec 20, 2019",10 days
Tyler Adams,19/20,Fitness,"Sep 12, 2019","Oct 19, 2019",37 days
Tyler Adams,18/19,Adductor pain,"Jun 12, 2019","Sep 11, 2019",91 days
Tyler Adams,18/19,Adductor pain,"Apr 1, 2019","May 12, 2019",41 days
Tyler Adams,18/19,Back injury,"Sep 25, 2018","Oct 17, 2018",22 days
David Brooks,22/23,Fitness,"Dec 19, 2022","Mar 8, 2023",79 days
David Brooks,22/23,Hamstring injury,"Aug 20, 2022","Dec 18, 2022",120 days
David Brooks,21/22,Lymphatic cancer,"Oct 6, 2021","May 10, 2022",216 days
David Brooks,21/22,unknown injury,"Aug 31, 2021","Sep 8, 2021",8 days
David Brooks,20/21,Ankle injury,"Feb 17, 2021","Apr 3, 2021",45 days
David Brooks,20/21,Knock,"Oct 12, 2020","Oct 29, 2020",17 days
David Brooks,20/21,Ankle injury,"Sep 20, 2020","Sep 28, 2020",8 days
David Brooks,19/20,Calf injury,"Jul 10, 2020","Jul 11, 2020",1 days
David Brooks,19/20,Ankle surgery,"Jul 31, 2019","Jun 19, 2020",324 days
David Brooks,18/19,Ankle injury,"May 1, 2019","May 30, 2019",29 days
David Brooks,18/19,Calf strain,"Mar 10, 2019","Mar 15, 2019",5 days
David Brooks,18/19,Ankle injury,"Jan 31, 2019","Feb 26, 2019",26 days
David Brooks,18/19,Ankle injury,"Jan 30, 2019","Feb 27, 2019",28 days
Ryan Christie,21/22,unknown injury,"Aug 15, 2021","Aug 18, 2021",3 days
Ryan Christie,20/21,Quarantine,"Jan 9, 2021","Jan 19, 2021",10 days
Ryan Christie,20/21,Quarantine,"Oct 8, 2020","Oct 22, 2020",14 days
Ryan Christie,19/20,Knock,"Feb 24, 2020","Feb 29, 2020",5 days
Ryan Christie,19/20,Groin surgery,"Dec 29, 2019","Jan 17, 2020",19 days
Ryan Christie,18/19,Facial fracture,"Apr 14, 2019","May 21, 2019",37 days
Ryan Christie,18/19,Hamstring strain,"Feb 24, 2019","Mar 31, 2019",35 days
Ryan Christie,18/19,Knee injury,"Dec 13, 2018","Dec 21, 2018",8 days
Ryan Christie,15/16,Knee injury,"Nov 7, 2015","Jan 31, 2016",85 days
Neto,23/24,Ankle injury,"Oct 27, 2023","Nov 24, 2023",28 days
Neto,22/23,Fitness,"Dec 19, 2022","Jan 13, 2023",25 days
Neto,22/23,Hamstring injury,"Oct 24, 2022","Dec 18, 2022",55 days
Neto,21/22,cold,"Nov 5, 2021","Nov 8, 2021",3 days
Neto,20/21,ankle sprain,"Mar 22, 2021","Apr 24, 2021",33 days
Neto,19/20,ankle sprain,"Jan 23, 2020","Feb 14, 2020",22 days
Neto,19/20,Hand injury,"Aug 11, 2019","Sep 17, 2019",37 days
Neto,18/19,Back injury,"Mar 15, 2019","Mar 29, 2019",14 days
Neto,15/16,unknown injury,"Apr 16, 2016","May 2, 2016",16 days
Neto,13/14,unknown injury,"May 4, 2014","Jul 1, 2014",58 days
Marcos Senesi,21/22,Ill,"Oct 20, 2021","Oct 23, 2021",3 days
Marcos Senesi,21/22,Groin injury,"Oct 3, 2021","Oct 15, 2021",12 days
Marcos Senesi,21/22,Groin injury,"Aug 22, 2021","Sep 12, 2021",21 days
Marcos Senesi,20/21,Quarantine,"Apr 2, 2021","Apr 6, 2021",4 days
Marcos Senesi,19/20,Arm injury,"Nov 10, 2019","Nov 20, 2019",10 days
Dominic Solanke,22/23,Knee injury,"Jan 13, 2023","Feb 6, 2023",24 days
Dominic Solanke,20/21,Ankle injury,"Feb 3, 2021","Feb 25, 2021",22 days
Dominic Solanke,18/19,Hamstring injury,"Apr 28, 2019","May 31, 2019",33 days
Dominic Solanke,18/19,Muscle strain,"Feb 24, 2019","Mar 8, 2019",12 days
Dominic Solanke,18/19,Hamstring injury,"Dec 23, 2018","Jan 30, 2019",38 days
Dominic Solanke,18/19,Groin strain,"Nov 25, 2018","Jan 29, 2019",65 days
Dominic Solanke,18/19,concussion,"Sep 16, 2018","Sep 25, 2018",9 days
Dominic Solanke,15/16,Achilles tendon problems,"Feb 4, 2016","Mar 14, 2016",39 days
Philip Billing,20/21,Groin injury,"Mar 3, 2021","Mar 13, 2021",10 days
Philip Billing,19/20,Ankle injury,"Jun 6, 2020","Jun 23, 2020",17 days
Philip Billing,19/20,Back injury,"Jan 23, 2020","Jan 31, 2020",8 days
Philip Billing,18/19,Back injury,"Mar 28, 2019","May 31, 2019",64 days
Philip Billing,18/19,Knee injury,"Jan 13, 2019","Feb 1, 2019",19 days
Philip Billing,18/19,Knock,"Oct 13, 2018","Oct 19, 2018",6 days
Philip Billing,17/18,Ankle surgery,"Oct 14, 2017","Jan 13, 2018",91 days
Lewis Cook,22/23,Knee injury,"Jan 14, 2023","Apr 1, 2023",77 days
Lewis Cook,22/23,Knee injury,"Jan 14, 2023","Jan 14, 2023",0 days
Lewis Cook,20/21,Cruciate ligament tear,"Mar 7, 2021","Oct 29, 2021",236 days
Lewis Cook,18/19,Cruciate ligament tear,"Dec 6, 2018","Sep 14, 2019",282 days
Lewis Cook,16/17,Ankle injury,"Aug 16, 2016","Mar 13, 2017",209 days
Romain Faivre,22/23,Knee problems,"Apr 12, 2023","Apr 20, 2023",8 days
Romain Faivre,22/23,Dead leg,"Sep 30, 2022","Oct 8, 2022",8 days
Romain Faivre,22/23,unknown injury,"Aug 1, 2022","Aug 15, 2022",14 days
Chris Mepham,23/24,Muscle injury,"Sep 28, 2023","Oct 14, 2023",16 days
Chris Mepham,22/23,Thigh problems,"Apr 28, 2023","May 6, 2023",8 days
Chris Mepham,20/21,Rest,"Sep 23, 2020","Sep 25, 2020",2 days
Chris Mepham,20/21,muscular problems,"Sep 13, 2020","Sep 16, 2020",3 days
Chris Mepham,20/21,Knee injury,"Jul 2, 2020","Aug 31, 2020",60 days
Chris Mepham,19/20,Knee injury,"Jan 5, 2020","May 19, 2020",135 days
Chris Mepham,19/20,Calf injury,"Sep 29, 2019","Oct 18, 2019",19 days
Chris Mepham,19/20,Knock,"Sep 11, 2019","Sep 14, 2019",3 days
Dango Ouattara,21/22,Corona virus,"Jan 8, 2022","Jan 15, 2022",7 days
Adam Smith,21/22,Knee injury,"Dec 10, 2021","Feb 14, 2022",66 days
Adam Smith,21/22,Knee injury,"Oct 11, 2021","Dec 1, 2021",51 days
Adam Smith,21/22,Knee injury,"Aug 10, 2021","Sep 3, 2021",24 days
Adam Smith,20/21,Knee bruise,"Oct 22, 2020","Oct 26, 2020",4 days
Adam Smith,20/21,Rest,"Sep 14, 2020","Sep 16, 2020",2 days
Adam Smith,20/21,Head injury,"Jul 10, 2020","Jul 25, 2020",15 days
Adam Smith,19/20,Ankle injury,"Dec 3, 2019","Jan 18, 2020",46 days
Adam Smith,19/20,Ill,"Nov 24, 2019","Dec 2, 2019",8 days
Adam Smith,19/20,Muscle strain,"Sep 1, 2019","Oct 18, 2019",47 days
Adam Smith,18/19,Knock,"Apr 14, 2019","May 3, 2019",19 days
