possession_team,player,position,location,distance_to_goal,angle_to_goal,shot_speed,play_pattern,minute,shot_body_part,shot_one_on_one,shot_first_time,shot_outcome,goalkeeper_location,goalkeeper_distance,defensive_pressure,statsbomb_xg,AJS_xg
Morocco Women's,Ibtissam Jraïdi,Forward,"[115.6, 23.1]",17.75387,6.09144,37.28771,Regular Play,0,Foot,True,False,Saved,"[118.2, 35.9]",13.06139,1,0.011642817,0.0406941
Colombia Women's,Mayra Tatiana Ramírez Ramírez,Forward,"[113.6, 54.5]",15.57562,11.5518,22.60042,Regular Play,10,Foot,False,True,Off T,"[118.9, 44.5]",11.31769,2,0.017579403,0.1691131
Morocco Women's,Ibtissam Jraïdi,Forward,"[107.8, 33.7]",13.87083,26.51428,11.62217,Regular Play,12,Head,False,False,Saved,"[118.1, 37.9]",11.1234,2,0.062036313,0.2341316
Colombia Women's,María Catalina Usme Pineda,Midfielder,"[103.2, 74.4]",38.01381,4.90953,18.59899,From Free Kick,16,Foot,False,False,Off T,"[119.0, 40.4]",37.49187,0,0.005587813,0.1118571
Colombia Women's,Daniela Montoya Quiróz,Midfielder,"[111.0, 39.3]",9.05539,43.83945,429.42998,From Throw In,19,Head,False,False,Saved,"[112.2, 39.6]",1.23693,1,0.16969006,0.108679
Colombia Women's,Mayra Tatiana Ramírez Ramírez,Forward,"[96.7, 45.2]",23.80966,17.12608,261.42628,From Throw In,24,Foot,False,False,Blocked,"[119.2, 40.9]",22.9072,3,0.037222218,0.0062398
Morocco Women's,Anissa Lahmari,Midfielder,"[96.7, 43.4]",23.50532,17.55576,17.52586,Regular Play,30,Foot,False,False,Off T,"[118.6, 40.9]",22.04223,2,0.040333282,0.0408893
Colombia Women's,Leicy Maria Santos Herrera,Forward,"[108.9, 36.3]",11.79873,32.85472,9.63614,Regular Play,43,Head,False,False,Off T,"[118.6, 39.7]",10.27862,3,0.12050855,0.0844878
Colombia Women's,Leicy Maria Santos Herrera,Forward,"[94.8, 40.4]",25.2002,16.52724,417.8514,Regular Play,45,Foot,False,True,Blocked,"[118.8, 40.1]",24.00187,3,0.034364924,0.0021689
Morocco Women's,Ghizlane Chebbak,Midfielder,"[108.1, 40.1]",11.90168,34.18362,24.40945,Penalty,48,Foot,False,False,Saved,"[120, 40.3]",11.90168,0,0.7835,0.5622028
Morocco Women's,Sakina Ouzraoui Diki,Midfielder,"[114.9, 48.3]",9.48736,25.97865,59.83149,Regular Play,48,Foot,False,True,Blocked,"[116.7, 45.2]",3.58469,2,0.09430429,0.0102922
Morocco Women's,Anissa Lahmari,Midfielder,"[116.6, 41.2]",3.5171,92.35974,12.20944,Regular Play,48,Foot,False,True,Goal,"[116.5, 48.1]",6.90072,3,0.70643836,0.8076814
Morocco Women's,Nesryne El Chad,Defender,"[109.7, 35.8]",11.24011,33.72508,6.82289,From Corner,48,Head,False,False,Saved,"[119.1, 39.6]",10.13903,4,0.05019202,0.0670722
Colombia Women's,Daniela Montoya Quiróz,Forward,"[113.8, 51.6]",12.88914,16.54896,28.3743,From Throw In,58,Foot,False,False,Saved,"[118.9, 44.0]",9.1526,1,0.06613756,0.0475731
Colombia Women's,Lorena Bedoya Durango,Midfielder,"[103.2, 46.8]",18.01361,21.56895,23.47827,From Throw In,58,Foot,False,True,Off T,"[119.2, 43.2]",16.4,1,0.056295164,0.0218905
Colombia Women's,Mayra Tatiana Ramírez Ramírez,Forward,"[107.4, 61.0]",24.23324,9.1307,36.21014,Regular Play,61,Foot,False,False,Saved,"[118.4, 44.3]",19.99725,2,0.006445995,0.004187
Colombia Women's,Daniela Alexandra Árias Rojas,Defender,"[106.7, 41.0]",13.31841,30.69721,15.13377,From Free Kick,71,Head,False,False,Saved,"[119.1, 41.9]",12.43262,5,0.027196512,0.0097824
Colombia Women's,Mayra Tatiana Ramírez Ramírez,Forward,"[116.8, 51.3]",11.456,11.24219,38.13658,From Corner,77,Foot,False,False,Post,"[119.1, 44.4]",7.27324,1,0.021371257,0.005751
Morocco Women's,Fatima Zahra Tagnaout,Midfielder,"[111.3, 19.6]",22.45395,7.39337,27.27851,Regular Play,81,Foot,True,False,Saved,"[118.6, 36.6]",18.50108,1,0.010282481,0.0127037
Morocco Women's,Ghizlane Chebbak,Midfielder,"[93.8, 36.0]",26.55052,15.50035,47.30537,From Throw In,83,Foot,False,False,Blocked,"[118.2, 39.6]",24.66414,0,0.030630497,0.0037081
Morocco Women's,Ghizlane Chebbak,Midfielder,"[114.8, 1.2]",39.44426,1.41363,28.66657,From Free Kick,100,Foot,False,False,Off T,"[118.9, 38.1]",37.12708,0,0.006889174,0.0057562
Jamaica Women's,Jody Brown,Midfielder,"[114.1, 28.8]",12.92517,15.69823,26.4986,From Throw In,2,Foot,False,False,Off T,"[118.8, 36.6]",9.10659,3,0.044885665,0.0503376
Colombia Women's,Diana Carolina Ospina García Pineda,Midfielder,"[108.4, 57.3]",20.58057,11.69612,15.95858,Regular Play,14,Foot,False,False,Saved,"[117.9, 44.1]",16.26315,2,0.01863553,0.179317
Colombia Women's,Daniela Alexandra Árias Rojas,Defender,"[112.4, 44.3]",8.58836,42.66375,45.4591,From Free Kick,28,Head,False,False,Saved,"[113.5, 43.8]",1.2083,1,0.20280479,0.0187123
Colombia Women's,Leicy Maria Santos Herrera,Midfielder,"[87.8, 49.0]",33.35461,12.10349,154.47885,Regular Play,30,Foot,False,False,Blocked,"[117.7, 40.0]",31.22515,1,0.017020792,0.0051425
Colombia Women's,Daniela Alexandra Árias Rojas,Defender,"[105.8, 32.7]",16.1059,22.90547,15.83694,From Corner,37,Foot,False,True,Blocked,"[119.1, 38.2]",14.39236,4,0.054440565,0.0283924
Colombia Women's,Jorelyn Andrea Daniela Carabalí Martínez,Defender,"[112.6, 37.1]",8.06226,46.3884,13.96159,From Corner,37,Foot,False,False,Off T,"[119.1, 37.8]",6.53758,2,0.09104756,0.069989
Colombia Women's,Ana María Guzmán Zapata,Defender,"[86.5, 40.8]",33.50373,12.46737,23.26073,From Free Kick,41,Foot,False,True,Off T,"[117.4, 40.2]",30.90582,0,0.016462415,0.008869
Jamaica Women's,Khadija Monifa Shaw,Forward,"[114.8, 46.6]",8.16884,35.51491,16.92305,From Corner,47,Head,False,False,Off T,"[118.6, 43.1]",5.16624,3,0.07245055,0.129798
Colombia Women's,Linda Lizeth Caicedo Alegría,Forward,"[102.9, 28.2]",20.94803,16.39539,473.95878,From Throw In,48,Foot,False,False,Blocked,"[118.6, 37.4]",18.19698,3,0.030798323,0.0037689
Colombia Women's,María Catalina Usme Pineda,Forward,"[110.3, 45.6]",11.05351,33.13264,14.02635,From Throw In,50,Foot,False,False,Goal,"[114.8, 42.6]",5.40833,1,0.37109455,0.2438844
Jamaica Women's,Jody Brown,Forward,"[118.6, 35.9]",4.61736,52.28654,20.77403,From Free Kick,53,Head,False,False,Post,"[116.8, 39.8]",4.29535,6,0.46716166,0.575188
Jamaica Women's,Drew Spence,Midfielder,"[94.5, 25.2]",29.63545,12.17909,21.69947,From Throw In,56,Foot,False,False,Saved,"[118.6, 38.0]",27.28828,0,0.023249248,0.0669766
Colombia Women's,Linda Lizeth Caicedo Alegría,Forward,"[109.4, 24.9]",18.69545,12.99864,19.68655,Regular Play,64,Foot,False,False,Off T,"[119.1, 37.3]",15.74325,2,0.043667737,0.1212935
Jamaica Women's,Khadija Monifa Shaw,Forward,"[93.1, 37.0]",27.10166,15.2731,16.52186,Regular Play,68,Foot,False,False,Saved,"[118.7, 39.1]",25.68599,2,0.030138547,0.0565916
Jamaica Women's,Drew Spence,Midfielder,"[108.9, 39.6]",11.12205,36.37596,11.33307,Regular Play,81,Head,False,False,Off T,"[118.7, 39.3]",9.80459,1,0.07443879,0.1102091
Colombia Women's,Leicy Maria Santos Herrera,Midfielder,"[111.9, 35.9]",9.21792,39.63824,11.04514,From Corner,85,Head,True,False,Post,"[119.3, 39.1]",8.06226,1,0.2922758,0.2813605
Colombia Women's,Diana Carolina Ospina García Pineda,Midfielder,"[89.7, 58.7]",35.44926,10.11513,32.6878,From Throw In,92,Foot,False,False,Off T,"[119.0, 40.7]",34.38735,1,0.007524314,0.0023441
Korea Republic Women's,Alexandra Popp,Midfielder,"[95.8, 49.5]",25.88977,15.09211,23.74034,Regular Play,1,Foot,False,False,Saved,"[118.7, 40.1]",24.75419,2,0.04655467,0.0296306
Korea Republic Women's,Casey Yu-Jin Phair,Forward,"[111.7, 44.9]",9.48947,38.40022,42.5764,From Keeper,2,Foot,False,False,Saved to Post,"[115.5, 43.6]",4.01622,2,0.4683652,0.0425171
Korea Republic Women's,So-Hyun Cho,Midfielder,"[106.1, 41.9]",13.99178,29.15746,14.03046,Regular Play,5,Foot,False,True,Goal,"[111.4, 42.2]",5.30848,1,0.4342162,0.7120508
